cart_id,customer_id,product_id,cart_date,cart_status,quantity
CART000001,CUST00207,PROD0066,2024-11-22 11:10:00,Abandoned,1
CART000002,CUST00488,PROD0066,2025-02-28 14:27:00,Abandoned,1
CART000003,CUST00408,PROD0116,2025-08-19 16:11:00,Abandoned,1
CART000004,CUST00095,PROD0066,2025-04-19 16:46:00,Active,1
CART000005,CUST00384,PROD0024,2025-01-20 11:12:00,Purchased,3
CART000006,CUST00046,PROD0029,2025-04-07 10:33:00,Purchased,1
CART000007,CUST00323,PROD0118,2025-08-23 13:00:00,Purchased,2
CART000008,CUST00332,PROD0063,2024-10-06 06:08:00,Abandoned,2
CART000009,CUST00282,PROD0144,2024-11-26 18:36:00,Purchased,1
CART000010,CUST00148,PROD0041,2025-05-16 12:13:00,Purchased,2
CART000011,CUST00037,PROD0119,2025-06-29 13:01:00,Purchased,1
CART000012,CUST00244,PROD0066,2025-07-05 12:16:00,Abandoned,1
CART000013,CUST00428,PROD0141,2025-06-04 20:28:00,Purchased,3
CART000014,CUST00370,PROD0011,2024-09-08 09:42:00,Abandoned,1
CART000015,CUST00090,PROD0024,2024-12-18 20:23:00,Purchased,1
CART000016,CUST00222,PROD0168,2025-04-26 20:54:00,Abandoned,3
CART000017,CUST00108,PROD0116,2024-10-21 10:49:00,Abandoned,1
CART000018,CUST00267,PROD0013,2024-09-25 17:48:00,Abandoned,2
CART000019,CUST00382,PROD0119,2024-10-08 13:57:00,Active,1
CART000020,CUST00044,PROD0182,2025-06-27 07:11:00,Abandoned,1
CART000021,CUST00077,PROD0119,2024-09-24 17:13:00,Purchased,3
CART000022,CUST00371,PROD0064,2024-06-03 08:57:00,Purchased,2
CART000023,CUST00197,PROD0121,2024-10-13 13:47:00,Abandoned,1
CART000024,CUST00331,PROD0095,2024-09-26 23:49:00,Abandoned,1
CART000025,CUST00279,PROD0133,2024-10-12 21:10:00,Abandoned,2
CART000026,CUST00086,PROD0066,2025-04-24 06:13:00,Abandoned,1
CART000027,CUST00129,PROD0031,2024-06-19 10:02:00,Purchased,2
CART000028,CUST00029,PROD0031,2024-09-28 23:18:00,Abandoned,1
CART000029,CUST00391,PROD0061,2025-01-05 08:51:00,Abandoned,1
CART000030,CUST00218,PROD0047,2024-09-12 06:05:00,Abandoned,1
CART000031,CUST00375,PROD0134,2024-11-17 11:10:00,Abandoned,1
CART000032,CUST00132,PROD0112,2025-06-27 10:18:00,Purchased,3
CART000033,CUST00310,PROD0066,2025-03-24 17:03:00,Abandoned,1
CART000034,CUST00301,PROD0060,2024-10-07 19:58:00,Abandoned,1
CART000035,CUST00195,PROD0119,2025-05-20 23:29:00,Active,2
CART000036,CUST00497,PROD0028,2024-12-14 09:53:00,Abandoned,1
CART000037,CUST00396,PROD0063,2024-06-30 21:20:00,Abandoned,1
CART000038,CUST00494,PROD0169,2024-11-11 19:06:00,Abandoned,2
CART000039,CUST00015,PROD0066,2025-04-13 11:59:00,Abandoned,1
CART000040,CUST00095,PROD0166,2025-02-05 07:24:00,Abandoned,3
CART000041,CUST00055,PROD0068,2024-10-19 23:14:00,Abandoned,2
CART000042,CUST00121,PROD0067,2024-08-01 20:09:00,Active,2
CART000043,CUST00113,PROD0024,2024-11-22 21:40:00,Purchased,1
CART000044,CUST00084,PROD0031,2025-07-09 16:32:00,Purchased,1
CART000045,CUST00044,PROD0060,2025-08-03 11:09:00,Abandoned,1
CART000046,CUST00404,PROD0166,2024-11-07 07:51:00,Abandoned,1
CART000047,CUST00332,PROD0131,2025-05-15 16:24:00,Abandoned,2
CART000048,CUST00128,PROD0128,2024-07-28 23:18:00,Active,1
CART000049,CUST00294,PROD0041,2024-07-03 14:58:00,Abandoned,1
CART000050,CUST00195,PROD0166,2025-01-01 10:15:00,Abandoned,2
CART000051,CUST00081,PROD0031,2024-09-29 13:40:00,Purchased,1
CART000052,CUST00261,PROD0166,2024-11-20 20:36:00,Active,1
CART000053,CUST00003,PROD0011,2024-07-07 08:50:00,Purchased,1
CART000054,CUST00230,PROD0047,2025-01-25 09:08:00,Purchased,1
CART000055,CUST00038,PROD0121,2025-05-07 08:03:00,Purchased,1
CART000056,CUST00340,PROD0048,2025-05-01 22:29:00,Abandoned,2
CART000057,CUST00207,PROD0060,2024-11-12 07:15:00,Active,1
CART000058,CUST00002,PROD0121,2024-06-19 17:44:00,Abandoned,1
CART000059,CUST00354,PROD0128,2024-07-02 19:51:00,Active,1
CART000060,CUST00465,PROD0024,2024-11-17 07:42:00,Purchased,2
CART000061,CUST00329,PROD0052,2024-08-13 20:54:00,Purchased,2
CART000062,CUST00484,PROD0135,2025-08-09 21:18:00,Active,1
CART000063,CUST00464,PROD0128,2025-07-14 07:51:00,Abandoned,1
CART000064,CUST00403,PROD0047,2024-06-12 13:38:00,Purchased,1
CART000065,CUST00144,PROD0018,2025-08-20 17:06:00,Abandoned,1
CART000066,CUST00451,PROD0200,2024-11-10 14:44:00,Abandoned,1
CART000067,CUST00086,PROD0112,2025-01-31 11:38:00,Abandoned,1
CART000068,CUST00175,PROD0046,2024-11-24 09:31:00,Purchased,1
CART000069,CUST00433,PROD0020,2024-11-07 11:11:00,Purchased,1
CART000070,CUST00382,PROD0066,2024-07-19 21:24:00,Active,1
CART000071,CUST00456,PROD0172,2024-10-02 14:15:00,Purchased,2
CART000072,CUST00014,PROD0031,2024-12-17 23:29:00,Purchased,1
CART000073,CUST00395,PROD0173,2024-06-02 11:01:00,Abandoned,1
CART000074,CUST00204,PROD0119,2025-07-17 15:09:00,Purchased,2
CART000075,CUST00309,PROD0063,2025-05-17 09:24:00,Purchased,1
CART000076,CUST00487,PROD0002,2025-01-16 18:43:00,Abandoned,1
CART000077,CUST00189,PROD0121,2025-03-22 14:37:00,Abandoned,2
CART000078,CUST00287,PROD0063,2025-07-06 18:54:00,Purchased,2
CART000079,CUST00073,PROD0165,2025-08-15 12:47:00,Active,1
CART000080,CUST00132,PROD0119,2024-10-28 06:44:00,Abandoned,1
CART000081,CUST00260,PROD0173,2025-02-06 12:12:00,Abandoned,1
CART000082,CUST00355,PROD0066,2024-10-09 15:19:00,Abandoned,1
CART000083,CUST00007,PROD0190,2025-01-01 06:19:00,Abandoned,2
CART000084,CUST00122,PROD0135,2025-01-15 22:31:00,Abandoned,1
CART000085,CUST00492,PROD0112,2025-03-02 16:00:00,Abandoned,1
CART000086,CUST00138,PROD0166,2025-05-03 20:01:00,Purchased,1
CART000087,CUST00451,PROD0111,2025-01-15 06:55:00,Abandoned,1
CART000088,CUST00301,PROD0066,2024-11-09 18:49:00,Abandoned,3
CART000089,CUST00049,PROD0031,2024-06-19 17:04:00,Abandoned,1
CART000090,CUST00182,PROD0029,2025-01-08 16:12:00,Active,1
CART000091,CUST00370,PROD0192,2025-02-07 20:31:00,Abandoned,1
CART000092,CUST00037,PROD0139,2025-02-26 11:25:00,Abandoned,1
CART000093,CUST00121,PROD0135,2025-01-14 12:10:00,Abandoned,1
CART000094,CUST00101,PROD0121,2025-05-10 16:26:00,Purchased,2
CART000095,CUST00363,PROD0119,2025-03-12 14:11:00,Abandoned,1
CART000096,CUST00108,PROD0166,2025-01-01 21:30:00,Abandoned,1
CART000097,CUST00495,PROD0193,2025-01-23 11:10:00,Abandoned,1
CART000098,CUST00180,PROD0174,2024-10-13 10:01:00,Abandoned,3
CART000099,CUST00035,PROD0119,2024-12-24 08:56:00,Abandoned,1
CART000100,CUST00478,PROD0119,2024-09-23 17:34:00,Purchased,1
CART000101,CUST00354,PROD0066,2025-07-02 10:51:00,Abandoned,1
CART000102,CUST00126,PROD0035,2024-07-15 10:01:00,Abandoned,1
CART000103,CUST00500,PROD0029,2024-09-13 17:36:00,Active,1
CART000104,CUST00300,PROD0135,2025-04-28 11:09:00,Abandoned,1
CART000105,CUST00321,PROD0121,2024-12-25 15:07:00,Purchased,1
CART000106,CUST00394,PROD0066,2024-09-23 16:59:00,Active,1
CART000107,CUST00204,PROD0050,2025-01-31 19:13:00,Purchased,2
CART000108,CUST00287,PROD0095,2025-05-25 10:37:00,Abandoned,2
CART000109,CUST00167,PROD0119,2025-04-15 16:48:00,Active,1
CART000110,CUST00167,PROD0031,2025-08-24 18:14:00,Abandoned,1
CART000111,CUST00079,PROD0105,2025-06-26 13:29:00,Active,1
CART000112,CUST00379,PROD0128,2025-02-19 10:41:00,Abandoned,2
CART000113,CUST00007,PROD0173,2025-06-10 11:52:00,Abandoned,3
CART000114,CUST00392,PROD0166,2024-09-07 15:42:00,Active,1
CART000115,CUST00143,PROD0031,2025-04-15 11:02:00,Abandoned,1
CART000116,CUST00021,PROD0138,2025-07-13 18:04:00,Abandoned,2
CART000117,CUST00408,PROD0119,2025-07-05 14:39:00,Abandoned,1
CART000118,CUST00495,PROD0031,2025-06-01 06:41:00,Active,1
CART000119,CUST00279,PROD0133,2025-06-15 23:21:00,Purchased,2
CART000120,CUST00082,PROD0047,2024-06-07 12:13:00,Active,1
CART000121,CUST00126,PROD0132,2024-12-06 09:14:00,Abandoned,2
CART000122,CUST00230,PROD0118,2024-07-18 23:48:00,Purchased,2
CART000123,CUST00372,PROD0066,2024-10-24 07:17:00,Abandoned,1
CART000124,CUST00400,PROD0135,2025-02-01 23:54:00,Purchased,1
CART000125,CUST00080,PROD0021,2024-06-20 11:04:00,Abandoned,1
CART000126,CUST00044,PROD0118,2024-11-01 08:11:00,Purchased,1
CART000127,CUST00287,PROD0124,2025-02-24 09:53:00,Purchased,1
CART000128,CUST00398,PROD0172,2024-10-21 08:23:00,Active,1
CART000129,CUST00450,PROD0173,2024-06-22 15:32:00,Abandoned,1
CART000130,CUST00404,PROD0066,2025-07-17 09:45:00,Abandoned,1
CART000131,CUST00431,PROD0024,2024-10-05 23:09:00,Abandoned,3
CART000132,CUST00110,PROD0031,2025-06-22 23:26:00,Abandoned,1
CART000133,CUST00044,PROD0066,2025-02-17 21:25:00,Abandoned,2
CART000134,CUST00443,PROD0116,2024-11-11 06:06:00,Active,1
CART000135,CUST00423,PROD0132,2025-07-13 09:33:00,Abandoned,3
CART000136,CUST00138,PROD0116,2025-02-15 14:35:00,Abandoned,1
CART000137,CUST00021,PROD0166,2025-01-02 07:24:00,Abandoned,1
CART000138,CUST00267,PROD0135,2024-08-03 15:48:00,Purchased,1
CART000139,CUST00221,PROD0168,2024-12-26 06:02:00,Abandoned,3
CART000140,CUST00159,PROD0185,2025-06-30 11:36:00,Abandoned,1
CART000141,CUST00160,PROD0068,2025-05-11 21:28:00,Abandoned,1
CART000142,CUST00185,PROD0121,2025-04-17 22:30:00,Abandoned,1
CART000143,CUST00038,PROD0029,2024-09-24 16:33:00,Abandoned,1
CART000144,CUST00396,PROD0066,2024-06-08 18:40:00,Abandoned,1
CART000145,CUST00498,PROD0066,2025-08-08 15:55:00,Abandoned,1
CART000146,CUST00081,PROD0132,2024-12-17 15:49:00,Active,2
CART000147,CUST00432,PROD0063,2025-03-17 09:38:00,Abandoned,1
CART000148,CUST00431,PROD0087,2024-06-23 10:13:00,Abandoned,1
CART000149,CUST00486,PROD0004,2024-09-29 11:07:00,Abandoned,1
CART000150,CUST00378,PROD0066,2024-09-28 10:45:00,Abandoned,1
CART000151,CUST00018,PROD0047,2024-11-15 10:11:00,Purchased,1
CART000152,CUST00154,PROD0031,2024-11-02 12:11:00,Purchased,2
CART000153,CUST00191,PROD0119,2024-08-14 15:44:00,Purchased,1
CART000154,CUST00443,PROD0066,2024-10-30 07:18:00,Purchased,2
CART000155,CUST00349,PROD0135,2025-03-17 14:34:00,Purchased,1
CART000156,CUST00485,PROD0172,2024-09-27 09:18:00,Active,2
CART000157,CUST00189,PROD0128,2024-08-15 21:32:00,Abandoned,1
CART000158,CUST00052,PROD0116,2024-10-01 09:05:00,Abandoned,1
CART000159,CUST00329,PROD0166,2024-08-15 20:09:00,Active,2
CART000160,CUST00176,PROD0166,2024-12-23 19:37:00,Abandoned,2
