order_item_id,order_id,product_id,quantity,unit_price,discount_percent
OITEM000001,ORD000170,PROD0041,1,5370.16,8.4
OITEM000002,ORD000016,PROD0120,2,3054.29,28.8
OITEM000003,ORD000016,PROD0047,1,2998.76,32.5
OITEM000004,ORD001992,PROD0128,5,1034.95,47.7
OITEM000005,ORD001992,PROD0024,4,20903.18,21.3
OITEM000006,ORD001992,PROD0095,1,7236.1,24.8
OITEM000007,ORD001992,PROD0166,3,110.93,6.5
OITEM000008,ORD002533,PROD0047,1,2984.36,20.0
OITEM000009,ORD002533,PROD0066,1,761.69,6.5
OITEM000010,ORD000918,PROD0183,2,1011.52,33.7
OITEM000011,ORD000918,PROD0031,3,5423.54,9.8
OITEM000012,ORD002344,PROD0130,1,3916.2,36.1
OITEM000013,ORD002344,PROD0119,1,1808.32,20.3
OITEM000014,ORD002270,PROD0166,1,113.01,9.6
OITEM000015,ORD002270,PROD0112,1,6004.77,22.1
OITEM000016,ORD002375,PROD0132,1,211.18,15.0
OITEM000017,ORD000365,PROD0118,1,546.21,47.5
OITEM000018,ORD002895,PROD0047,1,3118.62,10.8
OITEM000019,ORD002895,PROD0080,1,5328.29,16.8
OITEM000020,ORD002895,PROD0068,1,3491.42,20.4
OITEM000021,ORD001863,PROD0078,3,4592.82,12.7
OITEM000022,ORD002669,PROD0121,3,3335.21,27.2
OITEM000023,ORD001567,PROD0133,1,3291.18,45.7
OITEM000024,ORD002704,PROD0192,2,916.13,47.2
OITEM000025,ORD000788,PROD0047,1,2900.58,38.4
OITEM000026,ORD000788,PROD0092,1,5677.09,31.8
OITEM000027,ORD002559,PROD0020,1,19936.73,34.9
OITEM000028,ORD002559,PROD0074,1,568.6,47.1
OITEM000029,ORD002559,PROD0040,1,2727.17,6.0
OITEM000030,ORD001783,PROD0112,1,6049.14,35.3
OITEM000031,ORD001783,PROD0066,1,815.21,31.5
OITEM000032,ORD003190,PROD0064,1,556.57,15.1
OITEM000033,ORD000915,PROD0119,2,1747.33,41.8
OITEM000034,ORD000915,PROD0177,1,1239.18,16.8
OITEM000035,ORD000977,PROD0066,1,812.21,14.9
OITEM000036,ORD001482,PROD0141,1,579.93,12.2
OITEM000037,ORD001482,PROD0095,2,6923.74,47.7
OITEM000038,ORD000502,PROD0112,1,6172.71,6.1
OITEM000039,ORD001966,PROD0161,1,15831.92,17.8
OITEM000040,ORD002339,PROD0074,5,600.52,24.7
OITEM000041,ORD001209,PROD0166,2,108.66,15.4
OITEM000042,ORD003147,PROD0116,1,12495.64,37.2
OITEM000043,ORD003147,PROD0155,1,12365.05,12.8
OITEM000044,ORD002757,PROD0095,2,6891.76,13.5
OITEM000045,ORD001440,PROD0063,1,2114.44,17.2
OITEM000046,ORD001440,PROD0052,2,2684.37,39.7
OITEM000047,ORD001440,PROD0107,2,2628.01,38.1
OITEM000048,ORD002407,PROD0185,1,7970.25,13.4
OITEM000049,ORD002037,PROD0034,1,20409.95,40.2
OITEM000050,ORD001765,PROD0119,1,1715.39,33.7
OITEM000051,ORD001765,PROD0128,1,1025.76,43.3
OITEM000052,ORD000113,PROD0063,1,2176.53,6.6
OITEM000053,ORD000113,PROD0128,1,1125.37,9.8
OITEM000054,ORD002677,PROD0135,1,2878.67,49.6
OITEM000055,ORD002677,PROD0051,2,4898.12,46.6
OITEM000056,ORD001751,PROD0190,3,5284.94,14.7
OITEM000057,ORD000908,PROD0135,2,2852.42,20.2
OITEM000058,ORD000908,PROD0194,1,8874.7,40.7
OITEM000059,ORD001742,PROD0116,2,12031.8,21.4
OITEM000060,ORD001742,PROD0200,2,3762.97,47.2
OITEM000061,ORD000053,PROD0135,1,2861.48,5.9
OITEM000062,ORD000053,PROD0028,1,50342.68,5.7
OITEM000063,ORD001170,PROD0112,4,6326.09,34.0
OITEM000064,ORD000406,PROD0173,1,172.37,10.9
OITEM000065,ORD000527,PROD0118,2,579.86,49.4
OITEM000066,ORD000527,PROD0144,1,1125.1,42.3
OITEM000067,ORD000440,PROD0139,2,1636.7,31.8
OITEM000068,ORD002594,PROD0068,2,3583.65,35.5
OITEM000069,ORD002594,PROD0067,1,2068.34,40.6
OITEM000070,ORD002905,PROD0116,1,12350.44,45.3
OITEM000071,ORD002905,PROD0136,5,2925.06,10.3
OITEM000072,ORD002369,PROD0166,2,106.67,41.5
OITEM000073,ORD003139,PROD0197,1,7499.97,43.2
OITEM000074,ORD003139,PROD0065,2,3631.01,27.7
OITEM000075,ORD003139,PROD0132,5,209.18,7.5
OITEM000076,ORD000590,PROD0166,2,104.85,19.9
OITEM000077,ORD000590,PROD0108,3,14744.77,28.5
OITEM000078,ORD002401,PROD0152,4,8787.37,12.9
OITEM000079,ORD002401,PROD0128,1,1055.61,16.9
OITEM000080,ORD002401,PROD0002,2,35418.98,9.0
OITEM000081,ORD002401,PROD0085,1,2635.33,37.4
OITEM000082,ORD002891,PROD0084,4,2208.21,7.5
OITEM000083,ORD002891,PROD0119,3,1833.44,41.2
OITEM000084,ORD002218,PROD0066,1,810.03,41.5
OITEM000085,ORD000809,PROD0133,2,3297.01,42.4
OITEM000086,ORD000809,PROD0030,1,4530.83,21.8
OITEM000087,ORD002807,PROD0118,1,589.98,43.0
OITEM000088,ORD001088,PROD0046,1,2437.22,45.9
