order_id,customer_id,order_date,order_status,shipping_city,shipping_state,region
ORD000170,CUST00074,2024-06-01 08:50:00,Delivered,Hyderabad,Telangana,South
ORD000016,CUST00378,2024-06-01 09:08:00,Delivered,Noida,Uttar Pradesh,North
ORD001992,CUST00253,2024-06-01 09:20:00,Delivered,Lucknow,Uttar Pradesh,North
ORD002533,CUST00132,2024-06-01 13:05:00,Delivered,Noida,Uttar Pradesh,North
ORD000918,CUST00408,2024-06-01 15:35:00,Delivered,Thiruvananthapuram,Kerala,South
ORD002344,CUST00058,2024-06-01 16:31:00,Cancelled,Jaipur,Rajasthan,North
ORD002270,CUST00179,2024-06-01 17:35:00,Delivered,Hyderabad,Telangana,South
ORD002375,CUST00356,2024-06-01 19:51:00,Delivered,Bhubaneswar,Odisha,East
ORD000365,CUST00126,2024-06-01 22:07:00,Cancelled,Thiruvananthapuram,Kerala,South
ORD002895,CUST00330,2024-06-02 08:01:00,Pending,Bengaluru,Karnataka,South
ORD001863,CUST00476,2024-06-02 09:22:00,Delivered,Chennai,Tamil Nadu,South
ORD002669,CUST00101,2024-06-02 11:33:00,Delivered,Chennai,Tamil Nadu,South
ORD001567,CUST00049,2024-06-02 18:20:00,Pending,Lucknow,Uttar Pradesh,North
ORD002704,CUST00484,2024-06-02 19:05:00,Delivered,Coimbatore,Tamil Nadu,South
ORD000788,CUST00135,2024-06-03 11:47:00,Delivered,Delhi,Delhi,North
ORD002559,CUST00042,2024-06-03 12:40:00,Delivered,Chandigarh,Punjab,North
ORD001783,CUST00271,2024-06-03 17:35:00,Delivered,Mumbai,Maharashtra,West
ORD003190,CUST00301,2024-06-03 17:46:00,Delivered,Lucknow,Uttar Pradesh,North
ORD000915,CUST00154,2024-06-03 17:47:00,Delivered,Delhi,Delhi,North
ORD000977,CUST00456,2024-06-03 18:23:00,Delivered,Chandigarh,Punjab,North
ORD001482,CUST00150,2024-06-03 20:02:00,Delivered,Coimbatore,Tamil Nadu,South
ORD000502,CUST00129,2024-06-03 21:45:00,Pending,Kochi,Kerala,South
ORD001966,CUST00208,2024-06-03 22:12:00,Delivered,Mysuru,Karnataka,South
ORD002339,CUST00465,2024-06-03 22:55:00,Cancelled,Pune,Maharashtra,West
ORD001209,CUST00125,2024-06-04 09:40:00,Delivered,Noida,Uttar Pradesh,North
ORD003147,CUST00005,2024-06-04 12:36:00,Delivered,Mumbai,Maharashtra,West
ORD002757,CUST00424,2024-06-04 12:43:00,Delivered,Kolkata,West Bengal,East
ORD001440,CUST00247,2024-06-04 13:01:00,Delivered,Bengaluru,Karnataka,South
ORD002407,CUST00095,2024-06-04 18:22:00,Returned,Mumbai,Maharashtra,West
ORD002037,CUST00447,2024-06-04 20:20:00,Delivered,Kochi,Kerala,South
ORD001765,CUST00463,2024-06-04 20:34:00,Returned,Mumbai,Maharashtra,West
ORD000113,CUST00045,2024-06-04 21:32:00,Cancelled,Bengaluru,Karnataka,South
ORD002677,CUST00109,2024-06-05 11:36:00,Delivered,Delhi,Delhi,North
ORD001751,CUST00225,2024-06-05 12:26:00,Delivered,Mysuru,Karnataka,South
ORD000908,CUST00435,2024-06-05 14:03:00,Delivered,Delhi,Delhi,North
ORD001742,CUST00301,2024-06-05 14:26:00,Delivered,Lucknow,Uttar Pradesh,North
ORD000053,CUST00416,2024-06-05 14:48:00,Delivered,Chandigarh,Punjab,North
ORD001170,CUST00386,2024-06-05 17:01:00,Delivered,Ahmedabad,Gujarat,West
ORD000406,CUST00487,2024-06-05 17:04:00,Delivered,Raipur,Chhattisgarh,Central
ORD000527,CUST00280,2024-06-05 17:42:00,Cancelled,Hyderabad,Telangana,South
ORD000440,CUST00147,2024-06-05 18:06:00,Cancelled,Lucknow,Uttar Pradesh,North
ORD002594,CUST00494,2024-06-05 19:48:00,Returned,Indore,Madhya Pradesh,Central
ORD002905,CUST00237,2024-06-05 20:00:00,Pending,Lucknow,Uttar Pradesh,North
ORD002369,CUST00443,2024-06-06 08:03:00,Cancelled,Nagpur,Maharashtra,West
ORD003139,CUST00138,2024-06-06 10:04:00,Delivered,Bengaluru,Karnataka,South
ORD000590,CUST00218,2024-06-06 10:34:00,Delivered,Bengaluru,Karnataka,South
ORD002401,CUST00051,2024-06-06 11:18:00,Cancelled,Patna,Bihar,East
ORD002891,CUST00295,2024-06-06 15:08:00,Delivered,Noida,Uttar Pradesh,North
