"customer_id;""recency"";""frequency"";""monetary"";""recency_score"";""frequency_score"";""monetary_score"";""rfm_score"";""customer_segment"""
"CUST00257;170;1;92.68;2;1;1;""211"";""Lost Customers"""
"CUST00337;217;1;103.47;2;1;1;""211"";""Lost Customers"""
"CUST00377;289;1;114.74;1;1;1;""111"";""Lost Customers"""
"CUST00130;29;1;160.42;5;1;1;""511"";""Potential Loyalists"""
"CUST00352;321;1;328.95;1;1;1;""111"";""Lost Customers"""
"CUST00382;308;1;512.69;1;1;1;""111"";""Lost Customers"""
"CUST00327;288;1;565.58;1;1;1;""111"";""Lost Customers"""
"CUST00028;269;1;579.75;1;1;1;""111"";""Lost Customers"""
"CUST00139;233;1;689.72;1;1;1;""111"";""Lost Customers"""
"CUST00489;307;1;702.24;1;1;1;""111"";""Lost Customers"""
"CUST00357;212;1;774.3;2;1;1;""211"";""Lost Customers"""
"CUST00056;332;1;1058.57;1;1;1;""111"";""Lost Customers"""
"CUST00047;11;1;1065.09;5;1;1;""511"";""Potential Loyalists"""
"CUST00417;141;1;1073.27;2;1;1;""211"";""Lost Customers"""
"CUST00275;223;1;1097.34;2;1;1;""211"";""Lost Customers"""
"CUST00147;335;1;1272.9;1;1;1;""111"";""Lost Customers"""
"CUST00336;434;1;1776.22;1;1;1;""111"";""Lost Customers"""
"CUST00188;293;1;1837.01;1;1;1;""111"";""Lost Customers"""
"CUST00155;435;1;1913.86;1;1;1;""111"";""Lost Customers"""
"CUST00038;215;1;2059.64;2;1;1;""211"";""Lost Customers"""
"CUST00407;295;1;2251.49;1;1;1;""111"";""Lost Customers"""
"CUST00222;226;1;2368.5;1;1;1;""111"";""Lost Customers"""
"CUST00270;199;2;2605.56;2;2;1;""221"";""Lost Customers"""
"CUST00459;160;1;2641.87;2;1;1;""211"";""Lost Customers"""
"CUST00167;12;3;3353.46;5;3;1;""531"";""Potential Loyalists"""
"CUST00302;393;2;3427.26;1;1;1;""111"";""Lost Customers"""
"CUST00415;301;2;3609.33;1;1;1;""111"";""Lost Customers"""
"CUST00432;39;2;3828.91;4;2;1;""421"";""Potential Loyalists"""
"CUST00236;223;1;3934.49;1;1;1;""111"";""Lost Customers"""
"CUST00087;307;1;4035.68;1;1;1;""111"";""Lost Customers"""
"CUST00484;41;3;4237.42;4;3;1;""431"";""Potential Loyalists"""
"CUST00374;19;2;4345.5;5;2;1;""521"";""Potential Loyalists"""
"CUST00333;195;2;4498.76;2;2;1;""221"";""Lost Customers"""
"CUST00419;1;1;5088.2;5;1;1;""511"";""Potential Loyalists"""
"CUST00185;172;1;5529.68;2;1;1;""211"";""Lost Customers"""
